CountryName,CountryCode,Year,CO2 emissions (kt)
Afghanistan,AFG,1960,414.371
Albania,ALB,1960,2024.184
Algeria,DZA,1960,6160.56
Angola,AGO,1960,550.05
Antigua and Barbuda,ATG,1960,36.67
Argentina,ARG,1960,48815.104
Australia,AUS,1960,88202.351
Austria,AUT,1960,30821.135
"Bahamas, The",BHS,1960,410.704
Bahrain,BHR,1960,575.719
Barbados,BRB,1960,172.349
Belgium,BEL,1960,91000.272
Belize,BLZ,1960,44.004
Benin,BEN,1960,161.348
Bermuda,BMU,1960,157.681
Bolivia,BOL,1960,1004.758
Brazil,BRA,1960,46908.264
Brunei Darussalam,BRN,1960,333.697
Bulgaria,BGR,1960,22295.36
Burkina Faso,BFA,1960,44.004
Cabo Verde,CPV,1960,22.002
Cambodia,KHM,1960,234.688
Cameroon,CMR,1960,271.358
Canada,CAN,1960,192895.201
Cayman Islands,CYM,1960,11.001
Chad,TCD,1960,55.005
Chile,CHL,1960,13490.893
China,CHN,1960,780726.302
Colombia,COL,1960,16409.825
Comoros,COM,1960,11.001
"Congo, Dem. Rep.",ZAR,1960,2321.211
"Congo, Rep.",COG,1960,223.687
Costa Rica,CRI,1960,491.378
Cote d'Ivoire,CIV,1960,462.042
Cuba,CUB,1960,13699.912
Cyprus,CYP,1960,887.414
Denmark,DNK,1960,29779.707
Djibouti,DJI,1960,40.337
Dominica,DMA,1960,11.001
Dominican Republic,DOM,1960,1041.428
Ecuador,ECU,1960,1763.827
"Egypt, Arab Rep.",EGY,1960,16054.126
El Salvador,SLV,1960,619.723
Equatorial Guinea,GNQ,1960,22.002
Ethiopia,ETH,1960,352.032
Faeroe Islands,FRO,1960,58.672
Fiji,FJI,1960,194.351
Finland,FIN,1960,15104.373
France,FRA,1960,271218.654
French Polynesia,PYF,1960,36.67
Gabon,GAB,1960,132.012
"Gambia, The",GMB,1960,18.335
Ghana,GHA,1960,1463.133
Greece,GRC,1960,9405.855
Greenland,GRL,1960,223.687
Grenada,GRD,1960,22.002
Guatemala,GTM,1960,1345.789
Guinea,GIN,1960,410.704
Guinea-Bissau,GNB,1960,18.335
Guyana,GUY,1960,660.06
Haiti,HTI,1960,286.026
Honduras,HND,1960,616.056
"Hong Kong SAR, China",HKG,1960,2955.602
Hungary,HUN,1960,45371.791
Iceland,ISL,1960,1213.777
India,IND,1960,120581.961
Indonesia,IDN,1960,21404.279
"Iran, Islamic Rep.",IRN,1960,37392.399
Iraq,IRQ,1960,8265.418
Ireland,IRL,1960,11180.683
Israel,ISR,1960,6468.588
Italy,ITA,1960,109357.274
Jamaica,JAM,1960,1470.467
Japan,JPN,1960,232781.16
Jordan,JOR,1960,744.401
Kenya,KEN,1960,2427.554
"Korea, Rep.",KOR,1960,12552.141
Kuwait,KWT,1960,7803.376
Lao PDR,LAO,1960,80.674
Lebanon,LBN,1960,2581.568
Liberia,LBR,1960,165.015
Libya,LBY,1960,693.063
Luxembourg,LUX,1960,11518.047
"Macao SAR, China",MAC,1960,51.338
Madagascar,MDG,1960,399.703
Mali,MLI,1960,121.011
Malta,MLT,1960,341.031
Mauritania,MRT,1960,36.67
Mauritius,MUS,1960,179.683
Mexico,MEX,1960,63116.404
Mongolia,MNG,1960,1294.451
Morocco,MAR,1960,3641.331
Mozambique,MOZ,1960,1884.838
Myanmar,MMR,1960,2717.247
Nepal,NPL,1960,80.674
Netherlands,NLD,1960,73505.015
New Caledonia,NCL,1960,861.745
New Zealand,NZL,1960,11543.716
Nicaragua,NIC,1960,531.715
Niger,NER,1960,29.336
Nigeria,NGA,1960,3406.643
Norway,NOR,1960,13102.191
Pakistan,PAK,1960,14154.62
Palau,PLW,1960,14.668
Panama,PAN,1960,997.424
Papua New Guinea,PNG,1960,179.683
Paraguay,PRY,1960,304.361
Peru,PER,1960,8173.743
Philippines,PHL,1960,8335.091
Poland,POL,1960,199767.159
Portugal,PRT,1960,8225.081
Qatar,QAT,1960,176.016
Romania,ROM,1960,53450.192
Rwanda,RWA,1960,106.343
Samoa,WSM,1960,14.668
Sao Tome and Principe,STP,1960,11.001
Saudi Arabia,SAU,1960,2676.91
Senegal,SEN,1960,828.742
Sierra Leone,SLE,1960,715.065
Singapore,SGP,1960,1393.46
Solomon Islands,SLB,1960,11.001
Somalia,SOM,1960,84.341
South Africa,ZAF,1960,97934.569
Spain,ESP,1960,48928.781
Sri Lanka,LKA,1960,2258.872
St. Kitts and Nevis,KNA,1960,11.001
St. Lucia,LCA,1960,14.668
St. Vincent and the Grenadines,VCT,1960,11.001
Sudan,SDN,1960,1360.457
Suriname,SUR,1960,432.706
Swaziland,SWZ,1960,33.003
Sweden,SWE,1960,49222.141
Switzerland,CHE,1960,19523.108
Syrian Arab Republic,SYR,1960,3223.293
Tanzania,TZA,1960,828.742
Thailand,THA,1960,3714.671
Togo,TGO,1960,66.006
Tonga,TON,1960,11.001
Trinidad and Tobago,TTO,1960,2581.568
Tunisia,TUN,1960,1727.157
Turkey,TUR,1960,16820.529
Uganda,UGA,1960,421.705
United Arab Emirates,ARE,1960,11.001
United Kingdom,GBR,1960,584299.78
United States,USA,1960,2890696.1
Uruguay,URY,1960,4319.726
"Venezuela, RB",VEN,1960,57069.521
Vietnam,VNM,1960,7491.681
"Yemen, Rep.",YEM,1960,3633.997
Afghanistan,AFG,1961,491.378
Albania,ALB,1961,2280.874
Algeria,DZA,1961,6065.218
Angola,AGO,1961,454.708
Antigua and Barbuda,ATG,1961,47.671
Argentina,ARG,1961,51180.319
Australia,AUS,1961,90589.568
Austria,AUT,1961,31862.563
"Bahamas, The",BHS,1961,546.383
