CountryName,CountryCode,Year,HarvestingLand
Arab World,ARB,1961,30.94429248
Caribbean small states,CSS,1961,5.518774704
Central Europe and the Baltics,CEB,1961,64.66702835
East Asia & Pacific (all income levels),EAS,1961,43.3306915
East Asia & Pacific (developing only),EAP,1961,35.75494032
Euro area,EMU,1961,56.34152656
European Union,EUU,1961,54.8315777
Fragile and conflict affected situations,FCS,1961,31.22896886
Heavily indebted poor countries (HIPC),HPC,1961,35.38052961
High income,HIC,1961,38.59497316
High income: OECD,OEC,1961,38.59217316
Latin America & Caribbean (all income levels),LCN,1961,27.96781387
Latin America & Caribbean (developing only),LAC,1961,24.10238618
Least developed countries: UN classification,LDC,1961,36.16826516
Low & middle income,LMY,1961,34.62396426
Low income,LIC,1961,34.39911936
Lower middle income,LMC,1961,37.07335987
Middle East & North Africa (all income levels),MEA,1961,25.71699067
Middle East & North Africa (developing only),MNA,1961,23.24090067
Middle income,MIC,1961,34.67741811
North America,NAC,1961,28.34317672
OECD members,OED,1961,39.4742142
Other small states,OSS,1961,42.17669188
Pacific island small states,PSS,1961,8.131763208
Small states,SST,1961,34.86968894
South Asia,SAS,1961,55.12828586
Sub-Saharan Africa (all income levels),SSF,1961,39.96870505
Sub-Saharan Africa (developing only),SSA,1961,40.00348754
Upper middle income,UMC,1961,33.46669651
World,WLD,1961,36.0328394
Afghanistan,AFG,1961,57.74591796
Albania,ALB,1961,44.96350365
Algeria,DZA,1961,19.09150453
American Samoa,ASM,1961,15
Andorra,ADO,1961,55.31914894
Angola,AGO,1961,45.85706265
Antigua and Barbuda,ATG,1961,22.72727273
Argentina,ARG,1961,50.3633952
Aruba,ABW,1961,11.11111111
Australia,AUS,1961,60.08421957
Austria,AUT,1961,49.0433519
"Bahamas, The",BHS,1961,0.999000999
Bahrain,BHR,1961,10.14492754
Bangladesh,BGD,1961,72.82784052
Barbados,BRB,1961,44.18604651
Belize,BLZ,1961,3.463393249
Benin,BEN,1961,12.78822277
Bermuda,BMU,1961,8
Bhutan,BTN,1961,7.726387432
Bolivia,BOL,1961,27.73193021
Botswana,BWA,1961,45.87722549
Brazil,BRA,1961,18.01010751
Brunei Darussalam,BRN,1961,3.984819734
Bulgaria,BGR,1961,51.27903824
Burkina Faso,BFA,1961,29.74780702
Burundi,BDI,1961,61.3317757
Cabo Verde,CPV,1961,16.12903226
Cambodia,KHM,1961,19.929753
Cameroon,CMR,1961,15.88711895
Canada,CAN,1961,7.678553166
Cayman Islands,CYM,1961,11.25
Central African Republic,CAF,1961,7.60538059
Chad,TCD,1961,38.01587302
Channel Islands,CHI,1961,46.39175258
Chile,CHL,1961,18.00326012
China,CHN,1961,36.46579501
Colombia,COL,1961,36.02523659
Comoros,COM,1961,51.04782375
"Congo, Dem. Rep.",ZAR,1961,11.04960191
"Congo, Rep.",COG,1961,30.86383602
Costa Rica,CRI,1961,27.32079906
Cote d'Ivoire,CIV,1961,49.3081761
Cuba,CUB,1961,33.05400372
Cyprus,CYP,1961,43.72294372
Denmark,DNK,1961,74.58107151
Djibouti,DJI,1961,56.12597066
Dominica,DMA,1961,22.66666667
Dominican Republic,DOM,1961,45.32284768
Ecuador,ECU,1961,17.01343736
"Egypt, Arab Rep.",EGY,1961,2.579737807
El Salvador,SLV,1961,60.04796163
Equatorial Guinea,GNQ,1961,11.1942959
Ethiopia,ETH,1961,52.53042688
Faeroe Islands,FRO,1961,2.148997135
Fiji,FJI,1961,12.42474001
Finland,FIN,1961,9.080074855
France,FRA,1961,63.07732766
French Polynesia,PYF,1961,12.02185792
Gabon,GAB,1961,20.16144681
"Gambia, The",GMB,1961,51.77865613
Germany,DEU,1961,55.49508779
Ghana,GHA,1961,51.41953063
Greece,GRC,1961,69.12335144
Greenland,GRL,1961,0.687737782
Grenada,GRD,1961,64.70588235
Guam,GUM,1961,29.62962963
Guatemala,GTM,1961,24.69204927
Guinea,GIN,1961,59.49861631
Guinea-Bissau,GNB,1961,48.29302987
Guyana,GUY,1961,6.908647247
Haiti,HTI,1961,60.23222061
Honduras,HND,1961,26.63330056
"Hong Kong SAR, China",HKG,1961,13.7254902
Hungary,HUN,1961,78.66503776
Iceland,ISL,1961,21.14713217
India,IND,1961,58.84319536
Indonesia,IDN,1961,21.30748467
"Iran, Islamic Rep.",IRN,1961,36.39495257
Iraq,IRQ,1961,20.12026431
Ireland,IRL,1961,81.86964726
Isle of Man,IMY,1961,57.01754386
Israel,ISR,1961,23.61367837
Italy,ITA,1961,70.32402842
Jamaica,JAM,1961,49.21514312
Japan,JPN,1961,19.38914644
Jordan,JOR,1961,12.28467815
Kenya,KEN,1961,44.27733071
Kiribati,KIR,1961,48.14814815
"Korea, Dem. Rep.",PRK,1961,19.76580018
"Korea, Rep.",KOR,1961,21.90545304
Kuwait,KWT,1961,7.575757576
Lao PDR,LAO,1961,6.715771231
Lebanon,LBN,1961,54.93646139
Lesotho,LSO,1961,85.01317523
Liberia,LBR,1961,26.81686047
Libya,LBY,1961,6.348250111
Liechtenstein,LIE,1961,56.25
Madagascar,MDG,1961,60.43436393
Malawi,MWI,1961,33.941451
Malaysia,MYS,1961,9.491705981
Maldives,MDV,1961,16.66666667
Mali,MLI,1961,25.97792147
Malta,MLT,1961,56.25
Mauritania,MRT,1961,38.3448142
Mauritius,MUS,1961,48.76847291
Mexico,MEX,1961,50.57537488
Mongolia,MNG,1961,90.55524087
Morocco,MAR,1961,52.35918806
Mozambique,MOZ,1961,59.32119332
Myanmar,MMR,1961,15.95923738
Namibia,NAM,1961,46.93607356
Nepal,NPL,1961,24.84615385
Netherlands,NLD,1961,68.54265403
New Caledonia,NCL,1961,14.27789934
New Zealand,NZL,1961,59.91796741
Nicaragua,NIC,1961,28.50257603
Niger,NER,1961,24.86776664
Nigeria,NGA,1961,58.38632146
Norway,NOR,1961,2.830976468
Oman,OMN,1961,3.344103393
Pakistan,PAK,1961,46.3496264
Panama,PAN,1961,21.84557439
Papua New Guinea,PNG,1961,1.093053041
Paraguay,PRY,1961,26.20437956
Peru,PER,1961,13.246875
Philippines,PHL,1961,25.85998793
Poland,POL,1961,66.34888504
Portugal,PRT,1961,42.34972678
Puerto Rico,PRI,1961,69.4475761
Qatar,QAT,1961,4.392764858
Romania,ROM,1961,63.38890336
Rwanda,RWA,1961,53.30360762
Samoa,WSM,1961,19.78798587
San Marino,SMR,1961,16.66666667
Sao Tome and Principe,STP,1961,36.45833333
Saudi Arabia,SAU,1961,40.08484944
Senegal,SEN,1961,44.91248117
Seychelles,SYC,1961,10.86956522
Sierra Leone,SLE,1961,36.1873095
Singapore,SGP,1961,20.89552239
Solomon Islands,SLB,1961,1.964987496
Somalia,SOM,1961,69.98597252
South Africa,ZAF,1961,83.53460996
Spain,ESP,1961,66.48925527
Sri Lanka,LKA,1961,27.47568171
St. Kitts and Nevis,KNA,1961,57.14285714
St. Lucia,LCA,1961,27.86885246
St. Vincent and the Grenadines,VCT,1961,25.64102564
Sudan,SDN,1961,45.80808081
Suriname,SUR,1961,0.262820513
Swaziland,SWZ,1961,85.34883721
Sweden,SWE,1961,10.32558366
