CountryName,CountryCode,Year,Arable land (% of land area)
Arab World,ARB,1961,3.382112093
Caribbean small states,CSS,1961,1.731719368
Central Europe and the Baltics,CEB,1961,47.80008138
East Asia & Pacific (all income levels),EAS,1961,8.210878527
East Asia & Pacific (developing only),EAP,1961,9.961371321
Euro area,EMU,1961,30.50022279
European Union,EUU,1961,31.82742343
Fragile and conflict affected situations,FCS,1961,4.625026691
Heavily indebted poor countries (HIPC),HPC,1961,4.993601199
High income,HIC,1961,10.60789236
High income: OECD,OEC,1961,11.95042734
Latin America & Caribbean (all income levels),LCN,1961,4.328772507
Latin America & Caribbean (developing only),LAC,1961,3.802367927
Least developed countries: UN classification,LDC,1961,5.658336573
Low & middle income,LMY,1961,9.194574693
Low income,LIC,1961,5.830674972
Lower middle income,LMC,1961,16.43275529
Middle East & North Africa (all income levels),MEA,1961,4.395104746
Middle East & North Africa (developing only),MNA,1961,5.540637939
Middle income,MIC,1961,9.994297104
North America,NAC,1961,12.1338533
OECD members,OED,1961,12.24604855
Other small states,OSS,1961,1.317920595
Pacific island small states,PSS,1961,2.117497214
Small states,SST,1961,1.411624556
South Asia,SAS,1961,42.91865427
Sub-Saharan Africa (all income levels),SSF,1961,5.576612959
Sub-Saharan Africa (developing only),SSA,1961,5.578647291
Upper middle income,UMC,1961,6.740801213
World,WLD,1961,9.693107841
Afghanistan,AFG,1961,11.71767301
Albania,ALB,1961,15.76642336
Algeria,DZA,1961,2.717341104
American Samoa,ASM,1961,5
Andorra,ADO,1961,2.127659574
Angola,AGO,1961,2.141653966
Antigua and Barbuda,ATG,1961,18.18181818
Argentina,ARG,1961,6.795435362
Aruba,ABW,1961,11.11111111
Australia,AUS,1961,3.92916184
Austria,AUT,1961,20.45289416
"Bahamas, The",BHS,1961,0.699300699
Bahrain,BHR,1961,1.449275362
Bangladesh,BGD,1961,66.10586157
Barbados,BRB,1961,37.20930233
Belize,BLZ,1961,1.578255151
Benin,BEN,1961,8.158921603
Bermuda,BMU,1961,8
Bhutan,BTN,1961,2.140273527
Bolivia,BOL,1961,1.194498292
Botswana,BWA,1961,0.70403896
Brazil,BRA,1961,2.646282546
Brunei Darussalam,BRN,1961,0.759013283
Bulgaria,BGR,1961,38.43442104
Burkina Faso,BFA,1961,7.763157895
Burundi,BDI,1961,26.28504673
Cabo Verde,CPV,1961,9.429280397
Cambodia,KHM,1961,16.0774983
Cameroon,CMR,1961,10.57730956
Canada,CAN,1961,4.491444998
Cayman Islands,CYM,1961,0.833333333
Central African Republic,CAF,1961,2.696715785
Chad,TCD,1961,2.299206349
Channel Islands,CHI,1961,20.6185567
Chile,CHL,1961,4.895552579
China,CHN,1961,10.92855431
Colombia,COL,1961,3.183415953
Comoros,COM,1961,34.92745836
"Congo, Dem. Rep.",ZAR,1961,2.823051984
"Congo, Rep.",COG,1961,1.522693997
Costa Rica,CRI,1961,5.581668625
Cote d'Ivoire,CIV,1961,5.283018868
Cuba,CUB,1961,13.5009311
Cyprus,CYP,1961,35.60606061
Denmark,DNK,1961,66.24970498
Djibouti,DJI,1961,0.043140638
Dominica,DMA,1961,9.333333333
Dominican Republic,DOM,1961,14.90066225
Ecuador,ECU,1961,6.158792082
"Egypt, Arab Rep.",EGY,1961,2.510422422
El Salvador,SLV,1961,23.40527578
Equatorial Guinea,GNQ,1961,3.921568627
Ethiopia,ETH,1961,9.990917348
Faeroe Islands,FRO,1961,2.148997135
Fiji,FJI,1961,4.871373837
Finland,FIN,1961,8.748481565
France,FRA,1961,35.80572936
French Polynesia,PYF,1961,0.546448087
Gabon,GAB,1961,0.349283968
"Gambia, The",GMB,1961,11.95652174
Germany,DEU,1961,35.00128892
Ghana,GHA,1961,7.471213853
Greece,GRC,1961,21.67571761
Grenada,GRD,1961,14.70588235
Guam,GUM,1961,3.703703704
Guatemala,GTM,1961,10.26502426
Guinea,GIN,1961,14.32524825
Guinea-Bissau,GNB,1961,8.357041252
