CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
Afghanistan,AFG,1961,67.38
Albania,ALB,1961,37.6
Algeria,DZA,1961,50.06
American Samoa,ASM,1961,56.36
Angola,AGO,1961,40.81
Antigua and Barbuda,ATG,1961,196.43
Argentina,ARG,1961,25.67
Australia,AUS,1961,24.96
Austria,AUT,1961,86.37
"Bahamas, The",BHS,1961,39.05
Bahrain,BHR,1961,72.97
Bangladesh,BGD,1961,39.19
Barbados,BRB,1961,271.63
Belize,BLZ,1961,13.01
Benin,BEN,1961,19.82
Bermuda,BMU,1961,82.77
Bhutan,BTN,1961,28.93
Bolivia,BOL,1961,20.97
Botswana,BWA,1961,72.35
Brazil,BRA,1961,23.31
Brunei Darussalam,BRN,1961,85.44
Bulgaria,BGR,1961,116.05
Burkina Faso,BFA,1961,16.5
Burundi,BDI,1961,54.84
Cabo Verde,CPV,1961,42.16
Cambodia,KHM,1961,46.11
Cameroon,CMR,1961,25.96
Canada,CAN,1961,24.71
Cayman Islands,CYM,1961,101
Chad,TCD,1961,33.02
Chile,CHL,1961,29.74
China,CHN,1961,18.03
Colombia,COL,1961,31.76
Comoros,COM,1961,41.66
"Congo, Dem. Rep.",ZAR,1961,61.49
"Congo, Rep.",COG,1961,42.28
Costa Rica,CRI,1961,16.31
Cote d'Ivoire,CIV,1961,18.04
Cuba,CUB,1961,87.03
Cyprus,CYP,1961,102.11
Denmark,DNK,1961,58.72
Djibouti,DJI,1961,2.79
Dominica,DMA,1961,90.02
Dominican Republic,DOM,1961,70.72
Ecuador,ECU,1961,43.03
"Egypt, Arab Rep.",EGY,1961,21.54
El Salvador,SLV,1961,60.69
Equatorial Guinea,GNQ,1961,113.54
Faeroe Islands,FRO,1961,142.18
Fiji,FJI,1961,63.54
Finland,FIN,1961,62.28
France,FRA,1961,63.92
French Polynesia,PYF,1961,133.74
Gabon,GAB,1961,34.29
"Gambia, The",GMB,1961,68.61
Germany,DEU,1961,73.33
Ghana,GHA,1961,27.23
Greece,GRC,1961,53.93
Grenada,GRD,1961,125.03
Guam,GUM,1961,25.64
Guatemala,GTM,1961,19.43
Guinea,GIN,1961,35.14
