CountryName,CountryCode,Year,Food production index (2004-2006 = 100)
Arab World,ARB,1961,22.75820281
Caribbean small states,CSS,1961,68.93046096
East Asia & Pacific (all income levels),EAS,1961,18.89449541
East Asia & Pacific (developing only),EAP,1961,15.75316375
Euro area,EMU,1961,61.46641179
European Union,EUU,1961,64.78536157
Fragile and conflict affected situations,FCS,1961,30.63775323
Heavily indebted poor countries (HIPC),HPC,1961,33.30757228
High income,HIC,1961,51.18849668
High income: nonOECD,NOC,1961,35.47510755
High income: OECD,OEC,1961,52.93466752
Latin America & Caribbean (all income levels),LCN,1961,24.73610388
Latin America & Caribbean (developing only),LAC,1961,21.46910078
Least developed countries: UN classification,LDC,1961,33.64910716
Low & middle income,LMY,1961,22.48385752
Low income,LIC,1961,37.17482143
Lower middle income,LMC,1961,26.76986877
Middle East & North Africa (all income levels),MEA,1961,19.70977331
Middle East & North Africa (developing only),MNA,1961,20.20927366
Middle income,MIC,1961,21.69772114
North America,NAC,1961,44.3889095
OECD members,OED,1961,50.42213933
Other small states,OSS,1961,54.41394374
Pacific island small states,PSS,1961,53.80192502
Small states,SST,1961,59.17450132
South Asia,SAS,1961,31.23724629
Sub-Saharan Africa (all income levels),SSF,1961,30.70221573
Sub-Saharan Africa (developing only),SSA,1961,30.67533963
Upper middle income,UMC,1961,18.61977097
World,WLD,1961,31.68570722
Afghanistan,AFG,1961,54.02
Albania,ALB,1961,29.35
Algeria,DZA,1961,38.27
American Samoa,ASM,1961,70.22
Angola,AGO,1961,28.92
Antigua and Barbuda,ATG,1961,120.58
Argentina,ARG,1961,36.77
Australia,AUS,1961,38.95
Austria,AUT,1961,71.97
"Bahamas, The",BHS,1961,34.95
Bahrain,BHR,1961,54.02
Bangladesh,BGD,1961,36.59
Barbados,BRB,1961,120.47
Belize,BLZ,1961,13.34
Benin,BEN,1961,22.6
Bermuda,BMU,1961,132.04
Bhutan,BTN,1961,31.58
Bolivia,BOL,1961,20.16
Botswana,BWA,1961,57.57
Brazil,BRA,1961,15.66
Brunei Darussalam,BRN,1961,16.39
Bulgaria,BGR,1961,116.78
Burkina Faso,BFA,1961,21.12
Burundi,BDI,1961,63.49
Cabo Verde,CPV,1961,27.72
Cambodia,KHM,1961,38.95
Cameroon,CMR,1961,25.84
Canada,CAN,1961,34.74
Cayman Islands,CYM,1961,100.6
Central African Republic,CAF,1961,30.15
Chad,TCD,1961,40.46
Chile,CHL,1961,27.78
China,CHN,1961,13.35
Colombia,COL,1961,27.4
Comoros,COM,1961,42.02
"Congo, Dem. Rep.",ZAR,1961,60.5
"Congo, Rep.",COG,1961,39.01
Costa Rica,CRI,1961,14.82
Cote d'Ivoire,CIV,1961,16.95
Cuba,CUB,1961,98.11
Cyprus,CYP,1961,52.47
Denmark,DNK,1961,69.34
Djibouti,DJI,1961,13.42
Dominica,DMA,1961,84.26
Dominican Republic,DOM,1961,45.68
Ecuador,ECU,1961,27.6
"Egypt, Arab Rep.",EGY,1961,17.51
El Salvador,SLV,1961,34.85
Equatorial Guinea,GNQ,1961,105.3
Faeroe Islands,FRO,1961,16
Fiji,FJI,1961,51.07
Finland,FIN,1961,87.62
France,FRA,1961,67.22
French Polynesia,PYF,1961,109.58
Gabon,GAB,1961,46.24
"Gambia, The",GMB,1961,65.73
Germany,DEU,1961,69.81
Ghana,GHA,1961,27.46
Greece,GRC,1961,54.98
Greenland,GRL,1961,48.23
Grenada,GRD,1961,117.37
Guam,GUM,1961,34.32
Guatemala,GTM,1961,18.63
Guinea,GIN,1961,36.23
Guinea-Bissau,GNB,1961,40.26
