,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
0,1744-09-01 00:00:00,12.781,1.454,Århus,Denmark,57.05N,10.33E
1,1756-08-01 00:00:00,15.019,10.591,Århus,Denmark,57.05N,10.33E
2,1784-09-01 00:00:00,12.756,6.218,Århus,Denmark,57.05N,10.33E
3,1807-05-01 00:00:00,10.676,2.055,Århus,Denmark,57.05N,10.33E
4,1836-05-01 00:00:00,9.754,1.53,Århus,Denmark,57.05N,10.33E
5,1842-08-01 00:00:00,19.127,1.53,Århus,Denmark,57.05N,10.33E
6,1847-09-01 00:00:00,11.459,0.966,Århus,Denmark,57.05N,10.33E
7,1857-11-01 00:00:00,4.203,0.94,Århus,Denmark,57.05N,10.33E
8,1859-07-01 00:00:00,17.744,1.147,Århus,Denmark,57.05N,10.33E
9,1859-11-01 00:00:00,3.758,1.66,Århus,Denmark,57.05N,10.33E
10,1862-02-01 00:00:00,-1.931,1.213,Århus,Denmark,57.05N,10.33E
11,1865-12-01 00:00:00,3.283,1.279,Århus,Denmark,57.05N,10.33E
12,1876-01-01 00:00:00,-0.65,0.621,Århus,Denmark,57.05N,10.33E
13,1909-06-01,13.788,0.321,Århus,Denmark,57.05N,10.33E
14,1943-03-01,5.064,0.422,Århus,Denmark,57.05N,10.33E
15,1943-06-01,15.502,0.379,Århus,Denmark,57.05N,10.33E
16,1978-05-01,11.904,0.309,Århus,Denmark,57.05N,10.33E
18,1816-07-01 00:00:00,20.821,1.645,Çorlu,Turkey,40.99N,27.69E
19,1830-09-01 00:00:00,18.437,2.9,Çorlu,Turkey,40.99N,27.69E
20,1831-02-01 00:00:00,4.192,5.453,Çorlu,Turkey,40.99N,27.69E
21,1832-01-01 00:00:00,3.745,2.116,Çorlu,Turkey,40.99N,27.69E
22,1841-02-01 00:00:00,2.405,2.368,Çorlu,Turkey,40.99N,27.69E
23,1841-07-01 00:00:00,24.684,1.486,Çorlu,Turkey,40.99N,27.69E
24,1844-09-01 00:00:00,19.198,1.192,Çorlu,Turkey,40.99N,27.69E
25,1850-04-01 00:00:00,9.607,1.482,Çorlu,Turkey,40.99N,27.69E
26,1873-08-01 00:00:00,23.476,0.252,Çorlu,Turkey,40.99N,27.69E
27,1879-04-01 00:00:00,13.08,1.89,Çorlu,Turkey,40.99N,27.69E
28,1880-03-01 00:00:00,3.774,0.938,Çorlu,Turkey,40.99N,27.69E
29,1917-05-01,14.319,0.501,Çorlu,Turkey,40.99N,27.69E
30,1925-05-01,16.363,0.783,Çorlu,Turkey,40.99N,27.69E
31,1932-03-01,5.181,0.421,Çorlu,Turkey,40.99N,27.69E
32,1944-09-01,19.771,0.24,Çorlu,Turkey,40.99N,27.69E
33,2005-08-01,24.442,0.42,Çorlu,Turkey,40.99N,27.69E
34,2008-08-01,25.111,0.233,Çorlu,Turkey,40.99N,27.69E
35,1756-01-01 00:00:00,0.882,3.932,Çorum,Turkey,40.99N,34.08E
36,1761-05-01 00:00:00,15.692,3.451,Çorum,Turkey,40.99N,34.08E
37,1767-12-01 00:00:00,-0.357,3.857,Çorum,Turkey,40.99N,34.08E
38,1778-07-01 00:00:00,20.888,1.86,Çorum,Turkey,40.99N,34.08E
39,1786-03-01 00:00:00,6.157,4.265,Çorum,Turkey,40.99N,34.08E
40,1799-01-01 00:00:00,-2.866,2.628,Çorum,Turkey,40.99N,34.08E
41,1801-09-01 00:00:00,16.953,2.106,Çorum,Turkey,40.99N,34.08E
42,1803-06-01 00:00:00,17.677,1.761,Çorum,Turkey,40.99N,34.08E
43,1805-01-01 00:00:00,-0.585,2.36,Çorum,Turkey,40.99N,34.08E
44,1832-12-01 00:00:00,-1.273,4.642,Çorum,Turkey,40.99N,34.08E
45,1838-10-01 00:00:00,8.112,3.918,Çorum,Turkey,40.99N,34.08E
46,1859-06-01 00:00:00,16.668,0.917,Çorum,Turkey,40.99N,34.08E
47,1878-08-01 00:00:00,19.573,0.816,Çorum,Turkey,40.99N,34.08E
48,1886-10-01 00:00:00,10.499,0.622,Çorum,Turkey,40.99N,34.08E
49,1906-07-01,19.579,0.515,Çorum,Turkey,40.99N,34.08E
50,1907-10-01,11.552,0.735,Çorum,Turkey,40.99N,34.08E
51,1942-09-01,16.075,0.468,Çorum,Turkey,40.99N,34.08E
52,1942-10-01,11.395,0.19,Çorum,Turkey,40.99N,34.08E
53,1944-10-01,13.532,0.632,Çorum,Turkey,40.99N,34.08E
54,1968-06-01,16.841,0.31,Çorum,Turkey,40.99N,34.08E
55,2008-06-01,19.028,0.356,Çorum,Turkey,40.99N,34.08E
56,1828-11-01 00:00:00,-7.068,2.758,Öskemen,Kazakhstan,50.63N,82.39E
57,1839-05-01 00:00:00,8.089,4.014,Öskemen,Kazakhstan,50.63N,82.39E
58,1845-09-01 00:00:00,10.323,2.067,Öskemen,Kazakhstan,50.63N,82.39E
59,1861-06-01 00:00:00,16.672,1.541,Öskemen,Kazakhstan,50.63N,82.39E
60,1865-02-01 00:00:00,-18.49,2.209,Öskemen,Kazakhstan,50.63N,82.39E
61,1887-12-01 00:00:00,-10.909,2.027,Öskemen,Kazakhstan,50.63N,82.39E
62,1891-06-01 00:00:00,15.325,0.719,Öskemen,Kazakhstan,50.63N,82.39E
63,1896-10-01 00:00:00,2.164,1.076,Öskemen,Kazakhstan,50.63N,82.39E
64,1903-04-01,-1.026,0.674,Öskemen,Kazakhstan,50.63N,82.39E
65,1905-08-01,16.599,0.478,Öskemen,Kazakhstan,50.63N,82.39E
66,1920-09-01,9.695,1.326,Öskemen,Kazakhstan,50.63N,82.39E
67,1926-12-01,-16.587,0.715,Öskemen,Kazakhstan,50.63N,82.39E
68,1939-12-01,-9.298,1.283,Öskemen,Kazakhstan,50.63N,82.39E
